Plot Title: 10169131,,,,,,,,
#,"Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V",Coupler Attached,Coupler Detached,Stopped,End Of File
1,7/12/2021 20:16,16.427,0,2.79,,,,
2,7/13/2021 2:16,13.558,0,2.79,,,,
3,7/13/2021 8:16,15.282,1894.5,2.77,,,,
4,7/13/2021 14:16,24.931,2669.5,2.81,,,,
5,7/13/2021 20:16,17.57,0,2.79,,,,
6,7/14/2021 2:16,14.23,0,2.79,,,,
7,7/14/2021 8:16,16.237,1894.5,2.77,,,,
8,7/14/2021 14:16,23.004,2927.8,2.79,,,,
9,7/14/2021 20:16,15.378,0,2.77,,,,
10,7/15/2021 2:16,12.497,0,2.77,,,,
11,7/15/2021 8:16,14.23,1894.5,2.77,,,,
12,7/15/2021 14:16,21.951,3100,2.79,,,,
13,7/15/2021 20:16,13.942,0,2.77,,,,
14,7/16/2021 2:16,10.553,0,2.75,,,,
15,7/16/2021 8:16,11.819,1808.3,2.75,,,,
16,7/16/2021 14:16,19.948,6544.5,2.75,,,,
17,7/16/2021 20:16,13.076,0,2.77,,,,
18,7/17/2021 2:16,11.041,0,2.75,,,,
19,7/17/2021 8:16,13.75,1808.3,2.77,,,,
20,7/17/2021 14:16,22.142,12400.1,2.77,,,,
21,7/17/2021 20:16,14.804,0,2.77,,,,
22,7/18/2021 2:16,12.401,0,2.77,,,,
23,7/18/2021 8:16,15.951,1808.3,2.75,,,,
24,7/18/2021 14:16,24.931,12400.1,2.79,,,,
25,7/18/2021 20:16,17.665,0,2.77,,,,
26,7/19/2021 2:16,14.23,0,2.77,,,,
27,7/19/2021 8:16,15.664,1808.3,2.75,,,,
28,7/19/2021 14:16,24.448,4650,2.79,,,,
29,7/19/2021 20:16,15.473,0,2.75,,,,
30,7/20/2021 2:16,12.013,0,2.75,,,,
31,7/20/2021 8:16,14.134,1808.3,2.77,,,,
32,7/20/2021 14:16,23.581,5511.1,2.77,,,,
33,7/20/2021 20:16,13.173,0,2.77,,,,
34,7/21/2021 2:16,10.651,0,2.75,,,,
35,7/21/2021 8:16,11.139,2927.8,2.74,,,,
36,7/21/2021 14:16,19.092,5511.1,2.75,,,,
37,7/21/2021 20:16,10.651,0,2.74,,,,
38,7/22/2021 2:16,8.481,0,2.74,,,,
39,7/22/2021 8:16,11.236,1808.3,2.74,,,,
40,7/22/2021 14:16,21.091,7577.8,2.75,,,,
41,7/22/2021 20:16,13.076,0,2.75,,,,
42,7/23/2021 2:16,10.748,0,2.74,,,,
43,7/23/2021 8:16,13.654,1722.2,2.75,,,,
44,7/23/2021 14:16,23.966,4650,2.77,,,,
45,7/23/2021 20:16,16.046,0,2.75,,,,
46,7/24/2021 2:16,14.709,0,2.77,,,,
47,7/24/2021 8:16,18.331,1722.2,2.77,,,,
48,7/24/2021 14:16,25.902,3444.5,2.77,,,,
49,7/24/2021 20:16,17.855,0,2.77,,,,
50,7/25/2021 2:16,15.855,0,2.75,,,,
51,7/25/2021 8:16,17.76,1722.2,2.77,,,,
52,7/25/2021 14:16,25.708,2755.6,2.77,,,,
53,7/25/2021 20:16,18.236,0,2.77,,,,
54,7/26/2021 2:16,16.237,0,2.75,,,,
55,7/26/2021 8:16,18.236,1894.5,2.77,,,,
56,7/26/2021 14:16,25.125,3444.5,2.77,,,,
57,7/26/2021 20:16,17.95,0,2.77,,,,
58,7/27/2021 2:16,14.804,0,2.77,,,,
59,7/27/2021 8:16,14.23,656.6,2.75,,,,
60,7/27/2021 14:16,19.377,3272.2,2.77,,,,
61,7/27/2021 20:16,17.189,0,2.75,,,,
62,7/28/2021 2:16,16.046,0,2.75,,,,
63,7/28/2021 8:16,17.95,1636.1,2.75,,,,
64,7/28/2021 14:16,27.468,3272.2,2.79,,,,
65,7/28/2021 20:16,19.092,0,2.77,,,,
66,7/29/2021 2:16,17.76,0,2.77,,,,
67,7/29/2021 8:16,20.424,1550,2.75,,,,
68,7/29/2021 14:16,30.356,2238.9,2.77,,,,
69,7/29/2021 20:16,21.282,0,2.77,,,,
70,7/30/2021 2:16,20.329,0,2.75,,,,
71,7/30/2021 8:16,21.569,1377.8,2.77,,,,
72,7/30/2021 14:16,26.977,3272.2,2.79,,,,
73,7/30/2021 20:16,23.388,0,2.79,,,,
74,7/31/2021 2:16,21.855,0,2.77,,,,
75,7/31/2021 8:16,21.664,1119.5,2.77,,,,
76,7/31/2021 14:16,24.738,1808.3,2.79,,,,
77,7/31/2021 20:16,20.901,0,2.77,,,,
78,8/1/2021 2:16,19.092,0,2.77,,,,
79,8/1/2021 8:16,20.043,1636.1,2.75,,,,
80,8/1/2021 14:16,31.472,4133.4,2.77,,,,
81,8/1/2021 20:16,21.664,0,2.77,,,,
82,8/2/2021 2:16,19.472,0,2.77,,,,
83,8/2/2021 8:16,22.333,914.9,2.77,,,,
84,8/2/2021 14:16,28.853,4133.4,2.79,,,,
85,8/2/2021 20:16,21.282,0,2.77,,,,
86,8/3/2021 2:16,19.092,0,2.77,,,,
87,8/3/2021 8:16,21.091,1722.2,2.75,,,,
88,8/3/2021 14:16,27.961,4133.4,2.79,,,,
89,8/3/2021 20:16,19.282,0,2.77,,,,
90,8/4/2021 2:16,17.379,0,2.75,,,,
91,8/4/2021 8:16,19.853,1894.5,2.75,,,,
92,8/4/2021 14:16,30.356,4477.8,2.77,,,,
93,8/4/2021 20:16,20.234,0,2.75,,,,
94,8/5/2021 2:16,17.379,0,2.75,,,,
95,8/5/2021 8:16,16.713,1808.3,2.74,,,,
96,8/5/2021 14:16,14.996,344.4,2.75,,,,
97,8/5/2021 20:16,13.461,0,2.74,,,,
98,8/6/2021 2:16,12.207,0,2.72,,,,
99,8/6/2021 8:16,12.401,1550,2.72,,,,
100,8/6/2021 14:16,22.046,13089,2.74,,,,
101,8/6/2021 20:16,15.378,0,2.74,,,,
102,8/7/2021 2:16,13.75,0,2.74,,,,
103,8/7/2021 8:16,15.187,1377.8,2.72,,,,
104,8/7/2021 14:16,24.448,7233.4,2.75,,,,
105,8/7/2021 20:16,16.046,0,2.74,,,,
106,8/8/2021 2:16,11.041,0,2.72,,,,
107,8/8/2021 8:16,9.176,1550,2.72,,,,
108,8/8/2021 14:16,18.711,5511.1,2.72,,,,
109,8/8/2021 20:16,11.722,0,2.72,,,,
110,8/9/2021 2:16,10.651,0,2.7,,,,
111,8/9/2021 8:16,14.038,1463.9,2.72,,,,
112,8/9/2021 14:16,24.738,4650,2.75,,,,
113,8/9/2021 20:16,17.284,0,2.74,,,,
114,8/10/2021 2:16,16.046,0,2.74,,,,
115,8/10/2021 8:16,18.045,1377.8,2.74,,,,
116,8/10/2021 14:16,25.61,5166.7,2.75,,,,
117,8/10/2021 20:16,20.329,0,2.74,,,,
118,8/11/2021 2:16,19.377,0,2.75,,,,
119,8/11/2021 8:16,21.951,1291.7,2.75,,,,
120,8/11/2021 14:16,30.154,4477.8,2.77,,,,
121,8/11/2021 20:16,23.1,0,2.77,,,,
122,8/12/2021 2:16,20.996,0,2.75,,,,
123,8/12/2021 8:16,23.484,1463.9,2.77,,,,
124,8/12/2021 14:16,30.054,3100,2.77,,,,
125,8/12/2021 20:16,23.1,0,2.77,,,,
126,8/13/2021 2:16,21.282,0,2.75,,,,
127,8/13/2021 8:16,22.908,1377.8,2.75,,,,
128,8/13/2021 14:16,26.781,1980.6,2.77,,,,
129,8/13/2021 20:16,20.519,0,2.75,,,,
130,8/14/2021 2:16,18.996,0,2.75,,,,
131,8/14/2021 8:16,21.378,1722.2,2.75,,,,
132,8/14/2021 14:16,27.961,3616.7,2.77,,,,
133,8/14/2021 20:16,21.951,0,2.75,,,,
134,8/15/2021 2:16,19.948,0,2.74,,,,
135,8/15/2021 8:16,21.187,1291.7,2.75,,,,
136,8/15/2021 14:16,26.879,5166.7,2.77,,,,
137,8/15/2021 20:16,19.472,0,2.75,,,,
138,8/16/2021 2:16,17.094,0,2.74,,,,
139,8/16/2021 8:16,18.331,1044.1,2.74,,,,
140,8/16/2021 14:16,25.513,16533.4,2.74,,,,
141,8/16/2021 20:16,15.76,0,2.72,,,,
142,8/17/2021 2:16,11.139,0,2.72,,,,
143,8/17/2021 8:16,7.882,1463.9,2.7,,,,
144,8/17/2021 14:16,8.978,1550,2.7,,,,
145,8/17/2021 20:16,7.682,0,2.68,,,,
146,8/18/2021 2:16,7.682,0,2.68,,,,
147,8/18/2021 8:16,8.978,1194.8,2.68,,,,
148,8/18/2021 14:16,15.76,4133.4,2.7,,,,
149,8/18/2021 20:16,12.207,0,2.7,,,,
150,8/19/2021 2:16,10.455,0,2.68,,,,
151,8/19/2021 8:16,11.819,904.2,2.7,,,,
152,8/19/2021 14:16,17.95,9300.1,2.7,,,,
153,8/19/2021 20:16,12.594,0,2.7,,,,
154,8/20/2021 2:16,11.916,0,2.7,,,,
155,8/20/2021 8:16,10.944,828.8,2.7,,,,
156,8/20/2021 14:16,12.69,2152.8,2.7,,,,
157,8/20/2021 20:16,9.965,0,2.68,,,,
158,8/21/2021 2:16,9.275,0,2.7,,,,
159,8/21/2021 8:16,8.581,710.4,2.7,,,,
160,8/21/2021 14:16,12.69,3444.5,2.7,,,,
161,8/21/2021 20:16,9.768,0,2.68,,,,
162,8/22/2021 2:16,8.382,0,2.7,,,,
163,8/22/2021 8:16,9.669,1141,2.68,,,,
164,8/22/2021 14:16,14.613,2238.9,2.72,,,,
165,8/22/2021 20:16,8.879,0,2.7,,,,
166,8/23/2021 2:16,7.28,0,2.68,,,,
167,8/23/2021 8:16,7.381,1076.4,2.68,,,,
168,8/23/2021 14:16,14.709,1980.6,2.72,,,,
169,8/23/2021 20:16,10.063,0,2.68,,,,
170,8/24/2021 2:16,8.978,0,2.7,,,,
171,8/24/2021 8:16,11.139,1076.4,2.7,,,,
172,8/24/2021 14:16,18.806,2755.6,2.74,,,,
173,8/24/2021 20:16,12.69,0,2.7,,,,
174,8/25/2021 2:16,10.651,0,2.7,,,,
175,8/25/2021 8:16,11.334,818.1,2.7,,,,
176,8/25/2021 14:16,16.618,2669.5,2.72,,,,
177,8/25/2021 20:16,12.207,0,2.7,,,,
178,8/26/2021 2:16,10.846,0,2.7,,,,
179,8/26/2021 8:16,11.139,1313.2,2.7,,,,
180,8/26/2021 14:16,16.523,1463.9,2.72,,,,
181,8/26/2021 20:16,12.594,0,2.72,,,,
182,8/27/2021 2:16,11.236,0,2.7,,,,
183,8/27/2021 8:16,11.139,1345.5,2.7,,,,
184,8/27/2021 14:16,16.808,1722.2,2.72,,,,
185,8/27/2021 20:16,12.11,0,2.7,,,,
186,8/28/2021 2:16,10.846,0,2.7,,,,
187,8/28/2021 8:16,12.787,958,2.72,,,,
188,8/28/2021 14:16,20.996,2583.4,2.74,,,,
189,8/28/2021 20:16,16.237,0,2.72,,,,
190,8/29/2021 2:16,15.282,0,2.72,,,,
191,8/29/2021 8:16,16.141,1022.6,2.72,,,,
192,8/29/2021 14:16,21.855,2583.4,2.74,,,,
193,8/29/2021 20:16,15.091,0,2.72,,,,
194,8/30/2021 2:16,12.207,0,2.72,,,,
195,8/30/2021 8:16,10.846,1808.3,2.7,,,,
196,8/30/2021 14:16,14.804,1894.5,2.74,,,,
197,8/30/2021 20:16,8.879,0,2.7,,,,
198,8/31/2021 2:16,7.582,0,2.7,,,,
199,8/31/2021 8:16,7.481,947.2,2.7,,,,
200,8/31/2021 14:16,14.325,1894.5,2.72,,,,
201,8/31/2021 20:16,8.879,0,2.7,,,,
202,9/1/2021 2:16,7.28,0,2.7,,,,
203,9/1/2021 8:16,9.768,968.8,2.7,,,,
204,9/1/2021 14:16,16.332,1980.6,2.72,,,,
205,9/1/2021 20:16,11.334,0,2.72,,,,
206,9/2/2021 2:16,9.077,0,2.72,,,,
207,9/2/2021 8:16,10.748,1022.6,2.7,,,,
208,9/2/2021 14:16,18.045,1980.6,2.74,,,,
209,9/2/2021 20:16,13.558,0,2.74,,,,
210,9/3/2021 2:16,12.401,0,2.72,,,,
211,9/3/2021 8:16,13.654,1054.9,2.74,,,,
212,9/3/2021 14:16,19.377,2497.2,2.75,,,,
213,9/3/2021 20:16,14.804,0,2.74,,,,
214,9/4/2021 2:16,13.269,0,2.74,,,,
215,9/4/2021 8:16,14.613,1334.7,2.74,,,,
216,9/4/2021 14:16,20.329,2927.8,2.74,,,,
217,9/4/2021 20:16,16.808,0,2.74,,,,
