"Plot Title: 10760650"
"#","Date Time, GMT-07:00","Temp, °C","Intensity, Lux","Bad Battery","Coupler Attached","Stopped","End Of File"
1,07/24/21 06:36:32 PM,23.581,1808.3,,,,
2,07/25/21 12:36:32 AM,17.665,0.0,,,,
3,07/25/21 06:36:32 AM,16.141,86.1,,,,
4,07/25/21 12:36:32 PM,22.238,4133.4,,,,
5,07/25/21 06:36:32 PM,23.773,1980.6,,,,
6,07/26/21 12:36:32 AM,17.950,0.0,,,,
7,07/26/21 06:36:32 AM,16.618,258.3,,,,
8,07/26/21 12:36:32 PM,22.429,5166.7,,,,
9,07/26/21 06:36:32 PM,23.004,1980.6,,,,
10,07/27/21 12:36:32 AM,17.760,0.0,,,,
11,07/27/21 06:36:32 AM,15.187,43.1,,,,
12,07/27/21 12:36:32 PM,17.570,2152.8,,,,
13,07/27/21 06:36:32 PM,19.948,1550.0,,,,
14,07/28/21 12:36:32 AM,16.713,0.0,,,,
15,07/28/21 06:36:32 AM,16.713,204.5,,,,
16,07/28/21 12:36:32 PM,21.855,3961.1,,,,
17,07/28/21 06:36:32 PM,23.869,1636.1,,,,
18,07/29/21 12:36:32 AM,19.187,0.0,,,,
19,07/29/21 06:36:32 AM,18.616,129.2,,,,
20,07/29/21 12:36:32 PM,24.835,4477.8,,,,
21,07/29/21 06:36:32 PM,25.805,1636.1,,,,
22,07/30/21 12:36:32 AM,20.996,0.0,,,,
23,07/30/21 06:36:32 AM,20.519,322.9,,,,
24,07/30/21 12:36:32 PM,25.902,3616.7,,,,
25,07/30/21 06:36:32 PM,25.708,968.8,,,,
26,07/31/21 12:36:32 AM,22.525,0.0,,,,
27,07/31/21 06:36:32 AM,23.100,21.5,,,,
28,07/31/21 12:36:32 PM,24.931,3788.9,,,,
29,07/31/21 06:36:32 PM,23.196,1184.0,,,,
30,08/01/21 12:36:32 AM,20.043,0.0,,,,
31,08/01/21 06:36:32 AM,18.426,226.0,,,,
32,08/01/21 12:36:32 PM,23.773,3788.9,,,,
33,08/01/21 06:36:32 PM,24.448,3100.0,,,,
34,08/02/21 12:36:32 AM,21.855,0.0,,,,
35,08/02/21 06:36:32 AM,20.805,376.7,,,,
36,08/02/21 12:36:32 PM,26.488,4822.3,,,,
37,08/02/21 06:36:32 PM,25.513,2411.1,,,,
38,08/03/21 12:36:32 AM,20.710,0.0,,,,
39,08/03/21 06:36:32 AM,20.043,236.8,,,,
40,08/03/21 12:36:32 PM,23.196,3788.9,,,,
41,08/03/21 06:36:32 PM,23.677,1550.0,,,,
42,08/04/21 12:36:32 AM,19.092,0.0,,,,
43,08/04/21 06:36:32 AM,17.950,226.0,,,,
44,08/04/21 12:36:32 PM,23.484,4133.4,,,,
45,08/04/21 06:36:32 PM,24.545,904.2,,,,
46,08/05/21 12:36:32 AM,20.043,0.0,,,,
47,08/05/21 06:36:32 AM,16.903,258.3,,,,
48,08/05/21 12:36:32 PM,19.092,5166.7,,,,
49,08/05/21 06:36:32 PM,14.709,753.5,,,,
50,08/06/21 12:36:32 AM,13.173,0.0,,,,
51,08/06/21 06:36:32 AM,12.013,139.9,,,,
52,08/06/21 12:36:32 PM,16.713,3616.7,,,,
53,08/06/21 06:36:32 PM,19.853,1980.6,,,,
