"Plot Title: 10169137"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, Lux","Batt, V","Coupler Attached","Coupler Detached","Host Connected","End Of File"
1,06/30/12 09:00:00 PM,20.043,215.3,3.10,,,,
2,07/01/12 03:00:00 AM,18.901,0.0,3.10,,,,
3,07/01/12 09:00:00 AM,19.472,0.0,3.10,,,,
4,07/01/12 03:00:00 PM,20.901,21.5,3.08,,,,
5,07/01/12 09:00:00 PM,20.901,0.0,3.05,,,,
6,07/02/12 03:00:00 AM,18.901,0.0,3.05,,,,
7,07/02/12 09:00:00 AM,20.710,0.0,3.05,,,,
8,07/02/12 03:00:00 PM,26.781,0.0,3.03,,,,
9,07/02/12 09:00:00 PM,20.901,0.0,3.03,,,,
10,07/03/12 03:00:00 AM,16.523,0.0,3.03,,,,
11,07/03/12 09:00:00 AM,14.709,0.0,3.03,,,,
12,07/03/12 03:00:00 PM,38.268,99200.7,3.03,,,,
13,07/03/12 09:00:00 PM,6.166,0.0,3.01,,,,
14,07/04/12 03:00:00 AM,2.303,0.0,3.01,,,,
15,07/04/12 09:00:00 AM,39.843,165334.4,3.01,,,,
16,07/04/12 03:00:00 PM,44.457,46844.8,3.05,,,,
17,07/04/12 09:00:00 PM,8.282,0.0,3.08,,,,
18,07/05/12 03:00:00 AM,3.788,0.0,3.05,,,,
19,07/05/12 09:00:00 AM,44.457,88178.4,3.03,,,,
20,07/05/12 03:00:00 PM,49.225,110223.0,3.05,,,,
21,07/05/12 09:00:00 PM,10.161,0.0,3.05,,,,
22,07/06/12 03:00:00 AM,6.877,0.0,3.05,,,,
23,07/06/12 09:00:00 AM,46.722,170845.6,3.03,,,,
24,07/06/12 03:00:00 PM,49.768,68889.3,3.05,,,,
25,07/06/12 09:00:00 PM,12.883,0.0,3.08,,,,
26,07/07/12 03:00:00 AM,8.082,0.0,3.05,,,,
27,07/07/12 09:00:00 AM,47.368,170845.6,3.03,,,,
28,07/07/12 03:00:00 PM,53.757,49600.3,3.08,,,,
29,07/07/12 09:00:00 PM,14.517,0.0,3.08,,,,
30,07/08/12 03:00:00 AM,10.063,0.0,3.05,,,,
31,07/08/12 09:00:00 AM,33.953,176356.7,3.05,,,,
32,07/08/12 03:00:00 PM,53.757,74400.5,3.08,,,,
33,07/08/12 09:00:00 PM,17.665,0.0,3.08,,,,
34,07/09/12 03:00:00 AM,12.013,0.0,3.05,,,,
35,07/09/12 09:00:00 AM,47.629,143289.8,3.03,,,,
36,07/09/12 03:00:00 PM,53.166,44089.2,3.08,,,,
37,07/09/12 09:00:00 PM,14.325,0.0,3.08,,,,
38,07/10/12 03:00:00 AM,8.481,0.0,3.05,,,,
39,07/10/12 09:00:00 AM,44.334,93689.5,3.03,,,,
40,07/10/12 03:00:00 PM,51.863,52355.9,3.05,,,,
41,07/10/12 09:00:00 PM,13.076,0.0,3.05,,,,
42,07/11/12 03:00:00 AM,8.082,0.0,3.03,,,,
43,07/11/12 09:00:00 AM,45.577,68889.3,3.03,,,,
44,07/11/12 03:00:00 PM,56.520,71644.9,3.05,,,,
45,07/11/12 09:00:00 PM,13.654,0.0,3.08,,,,
46,07/12/12 03:00:00 AM,8.581,0.0,3.05,,,,
47,07/12/12 09:00:00 AM,46.210,85422.8,3.03,,,,
48,07/12/12 03:00:00 PM,54.056,110223.0,3.05,,,,
49,07/12/12 09:00:00 PM,11.625,0.0,3.05,,,,
50,07/13/12 03:00:00 AM,6.674,0.0,3.03,,,,
51,07/13/12 09:00:00 AM,45.956,93689.5,3.01,,,,
52,07/13/12 03:00:00 PM,55.425,110223.0,3.03,,,,
53,07/13/12 09:00:00 PM,11.041,0.0,3.05,,,,
54,07/14/12 03:00:00 AM,6.978,0.0,3.03,,,,
55,07/14/12 09:00:00 AM,36.511,44089.2,3.01,,,,
56,07/14/12 03:00:00 PM,51.154,148801.0,3.03,,,,
57,07/14/12 09:00:00 PM,12.594,0.0,3.05,,,,
58,07/15/12 03:00:00 AM,9.373,0.0,3.03,,,,
59,07/15/12 09:00:00 AM,35.864,46844.8,2.99,,,,
60,07/15/12 03:00:00 PM,47.892,154312.1,3.03,,,,
61,07/15/12 09:00:00 PM,12.110,0.0,3.03,,,,
62,07/16/12 03:00:00 AM,12.594,0.0,3.03,,,,
63,07/16/12 09:00:00 AM,22.621,20666.8,3.01,,,,
64,07/16/12 03:00:00 PM,36.620,55111.5,2.99,,,,
65,07/16/12 09:00:00 PM,11.041,0.0,2.99,,,,
66,07/17/12 03:00:00 AM,11.236,0.0,2.97,,,,
67,07/17/12 09:00:00 AM,44.211,46844.8,2.97,,,,
68,07/17/12 03:00:00 PM,38.379,57867.0,3.01,,,,
69,07/17/12 09:00:00 PM,17.094,0.0,3.01,,,,
70,07/18/12 03:00:00 AM,14.996,0.0,2.99,,,,
71,07/18/12 09:00:00 AM,22.429,34444.7,2.97,,,,
72,07/18/12 03:00:00 PM,34.691,38578.0,2.97,,,,
73,07/18/12 09:00:00 PM,11.334,0.0,2.97,,,,
74,07/19/12 03:00:00 AM,15.760,0.0,2.95,,,,
75,07/19/12 09:00:00 AM,32.497,74400.5,2.95,,,,
76,07/19/12 03:00:00 PM,60.156,187379.0,3.01,,,,
77,07/19/12 09:00:00 PM,17.284,0.0,3.01,,,,
78,07/20/12 03:00:00 AM,16.427,0.0,2.99,,,,
79,07/20/12 09:00:00 AM,22.333,38578.0,2.99,,,,
80,07/20/12 03:00:00 PM,52.437,148801.0,3.01,,,,
81,07/20/12 09:00:00 PM,9.669,0.0,2.99,,,,
82,07/21/12 03:00:00 AM,13.942,0.0,2.99,,,,
83,07/21/12 09:00:00 AM,43.601,82667.2,2.97,,,,
84,07/21/12 03:00:00 PM,55.117,115734.1,3.01,,,,
85,07/21/12 09:00:00 PM,10.553,0.0,3.01,,,,
86,07/22/12 03:00:00 AM,5.655,0.0,2.99,,,,
87,07/22/12 09:00:00 AM,30.255,49600.3,2.99,,,,
88,07/22/12 03:00:00 PM,47.760,121245.2,3.01,,,,
89,07/22/12 09:00:00 PM,12.013,0.0,3.01,,,,
90,07/23/12 03:00:00 AM,1.980,0.0,2.99,,,,
91,07/23/12 09:00:00 AM,39.729,74400.5,2.99,,,,
92,07/23/12 03:00:00 PM,54.206,121245.2,3.03,,,,
93,07/23/12 09:00:00 PM,8.879,0.0,3.03,,,,
94,07/24/12 03:00:00 AM,3.261,0.0,3.01,,,,
95,07/24/12 09:00:00 AM,41.458,85422.8,2.99,,,,
96,07/24/12 03:00:00 PM,55.425,143289.8,3.01,,,,
97,07/24/12 09:00:00 PM,10.944,0.0,3.03,,,,
98,07/25/12 03:00:00 AM,6.674,0.0,3.01,,,,
99,07/25/12 09:00:00 AM,42.758,88178.4,2.99,,,,
100,07/25/12 03:00:00 PM,57.643,137778.7,3.03,,,,
101,07/25/12 09:00:00 PM,15.760,0.0,3.03,,,,
102,07/26/12 03:00:00 AM,8.082,0.0,3.01,,,,
103,07/26/12 09:00:00 AM,43.966,88178.4,3.01,,,,
104,07/26/12 03:00:00 PM,58.134,143289.8,3.03,,,,
105,07/26/12 09:00:00 PM,13.365,0.0,3.03,,,,
106,07/27/12 03:00:00 AM,15.569,0.0,3.01,,,,
107,07/27/12 09:00:00 AM,31.166,52355.9,3.01,,,,
108,07/27/12 03:00:00 PM,51.720,132267.5,3.03,,,,
109,07/27/12 09:00:00 PM,8.680,0.0,3.03,,,,
110,07/28/12 03:00:00 AM,4.102,0.0,3.01,,,,
111,07/28/12 09:00:00 AM,40.876,74400.5,2.99,,,,
112,07/28/12 03:00:00 PM,55.271,143289.8,3.01,,,,
113,07/28/12 09:00:00 PM,9.669,0.0,3.01,,,,
114,07/29/12 03:00:00 AM,4.519,0.0,3.01,,,,
115,07/29/12 09:00:00 AM,39.843,35822.5,3.01,,,,
116,07/29/12 03:00:00 PM,53.906,137778.7,3.03,,,,
117,07/29/12 09:00:00 PM,9.275,0.0,3.03,,,,
118,07/30/12 03:00:00 AM,5.347,0.0,2.99,,,,
119,07/30/12 09:00:00 AM,41.810,57867.0,2.99,,,,
120,07/30/12 03:00:00 PM,54.206,121245.2,3.03,,,,
121,07/30/12 09:00:00 PM,10.161,0.0,3.01,,,,
122,07/31/12 03:00:00 AM,5.141,0.0,2.99,,,,
123,07/31/12 09:00:00 AM,41.108,68889.3,2.99,,,,
