"Plot Title: 10169171"
"#","Date Time, GMT-08:00","Temp, °C","Intensity, lum/ft²","Batt, V","End Of File"
1,01/01/10 10:02:39 PM,0.121,0.0,2.41,
2,01/02/10 04:02:39 AM,0.010,0.0,2.41,
3,01/02/10 10:02:39 AM,0.010,0.0,2.41,
4,01/02/10 04:02:39 PM,0.121,0.0,2.41,
5,01/02/10 10:02:39 PM,0.121,0.0,2.41,
6,01/03/10 04:02:39 AM,0.121,0.0,2.41,
7,01/03/10 10:02:39 AM,0.121,0.0,2.41,
8,01/03/10 04:02:39 PM,0.232,0.0,2.41,
9,01/03/10 10:02:39 PM,0.232,0.0,2.41,
10,01/04/10 04:02:39 AM,0.232,0.0,2.41,
11,01/04/10 10:02:39 AM,0.121,0.0,2.41,
12,01/04/10 04:02:39 PM,0.232,0.0,2.41,
13,01/04/10 10:02:39 PM,0.121,0.0,2.41,
14,01/05/10 04:02:39 AM,0.121,0.0,2.41,
15,01/05/10 10:02:39 AM,0.121,0.0,2.41,
16,01/05/10 04:02:39 PM,0.232,0.0,2.41,
17,01/05/10 10:02:39 PM,0.232,0.0,2.41,
18,01/06/10 04:02:39 AM,0.232,0.0,2.41,
19,01/06/10 10:02:39 AM,0.232,0.0,2.41,
20,01/06/10 04:02:39 PM,0.232,0.0,2.41,
21,01/06/10 10:02:39 PM,0.232,0.0,2.41,
22,01/07/10 04:02:39 AM,0.232,0.0,2.41,
23,01/07/10 10:02:39 AM,0.232,0.0,2.41,
24,01/07/10 04:02:39 PM,0.232,0.0,2.41,
25,01/07/10 10:02:39 PM,0.232,0.0,2.41,
26,01/08/10 04:02:39 AM,0.232,0.0,2.41,
27,01/08/10 10:02:39 AM,0.232,0.0,2.41,
28,01/08/10 04:02:39 PM,0.232,0.0,2.41,
29,01/08/10 10:02:39 PM,0.232,0.0,2.41,
30,01/09/10 04:02:39 AM,0.232,0.0,2.39,
31,01/09/10 10:02:39 AM,0.232,0.0,2.39,
32,01/09/10 04:02:39 PM,0.232,0.0,2.39,
33,01/09/10 10:02:39 PM,0.232,0.0,2.39,
34,01/10/10 04:02:39 AM,0.232,0.0,2.39,
35,01/10/10 10:02:39 AM,0.232,0.0,2.39,
36,01/10/10 04:02:39 PM,0.232,0.0,2.39,
37,01/10/10 10:02:39 PM,0.232,0.0,2.39,
38,01/11/10 04:02:39 AM,0.232,0.0,2.39,
39,01/11/10 10:02:39 AM,0.232,0.0,2.39,
40,01/11/10 04:02:39 PM,0.232,0.0,2.39,
41,01/11/10 10:02:39 PM,0.232,0.0,2.39,
42,01/12/10 04:02:39 AM,0.232,0.0,2.39,
43,01/12/10 10:02:39 AM,0.232,0.0,2.39,
44,01/12/10 04:02:39 PM,0.232,0.0,2.39,
45,01/12/10 10:02:39 PM,0.232,0.0,2.39,
46,01/13/10 04:02:39 AM,0.232,0.0,2.39,
47,01/13/10 10:02:39 AM,0.232,0.0,2.39,
48,01/13/10 04:02:39 PM,0.232,0.0,2.39,
49,01/13/10 10:02:39 PM,0.232,0.0,2.39,
50,01/14/10 04:02:39 AM,0.232,0.0,2.39,
51,01/14/10 10:02:39 AM,0.232,0.0,2.39,
52,01/14/10 04:02:39 PM,0.232,0.0,2.39,
